timestamp,source_ip,network_packet_size,failed_logins,attack_stage
2026-09-09T13:14:00,192.168.1.75,590,0,Normal Traffic
2026-09-09T13:15:00,192.168.1.76,595,0,Normal Traffic
2026-09-09T13:16:00,192.168.1.77,600,0,Normal Traffic
2026-09-09T13:17:00,192.168.1.78,605,0,Normal Traffic
2026-09-09T13:18:00,192.168.1.79,610,0,Normal Traffic
2026-09-09T13:19:00,192.168.1.80,615,0,Normal Traffic
2026-09-09T13:20:00,192.168.1.81,620,1,Normal Traffic
2026-09-09T13:21:00,192.168.1.82,625,1,Normal Traffic
2026-09-09T13:22:00,192.168.1.83,630,1,Normal Traffic
2026-09-09T13:23:00,192.168.1.84,635,1,Normal Traffic
2026-09-09T13:24:00,192.168.1.85,640,1,Normal Traffic
2026-09-09T13:25:00,192.168.1.86,645,1,Normal Traffic
2026-09-09T13:26:00,192.168.1.87,650,1,Normal Traffic
2026-09-09T13:27:00,192.168.1.88,655,1,Normal Traffic
2026-09-09T13:28:00,192.168.1.89,660,1,Normal Traffic
2026-09-09T13:29:00,192.168.1.90,665,1,Normal Traffic
2026-09-09T13:30:00,192.168.1.91,670,0,Normal Traffic
2026-09-09T13:31:00,192.168.1.92,675,0,Normal Traffic
2026-09-09T13:32:00,192.168.1.93,680,0,Normal Traffic
2026-09-09T13:33:00,192.168.1.94,685,0,Normal Traffic
2026-09-09T13:34:00,192.168.1.95,690,0,Normal Traffic
2026-09-09T13:35:00,192.168.1.96,695,0,Normal Traffic
2026-09-09T13:36:00,192.168.1.97,700,0,Normal Traffic
2026-09-09T13:37:00,192.168.1.98,705,0,Normal Traffic
2026-09-09T13:38:00,192.168.1.99,710,0,Normal Traffic
2026-09-09T13:39:00,192.168.1.100,715,0,Normal Traffic
