session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access
sess_1055,10747,HTTPS,13,1088,TLS 1.3,35.2,4,Unknown-Bot,1
sess_1056,7361,SSH,6,2642,TLS 1.2,18.5,2,Firefox,1
sess_1057,6774,TCP,6,2119,TLS 1.3,45.5,1,Firefox,1
sess_1058,9463,HTTPS,4,885,TLS 1.3,58.7,4,Safari,1
sess_1059,7735,UDP,4,1692,TLS 1.3,27.2,1,Safari,1
sess_1060,12616,TCP,16,1688,None,49.5,9,Chrome,1
sess_1061,6355,HTTPS,12,492,TLS 1.2,30.7,5,Safari,1
sess_1062,9678,HTTP,3,192,AES-256,45.9,2,Firefox,1
sess_1063,4998,SSH,3,2197,None,49.9,2,Edge,1
sess_1064,13475,FTP,14,1471,None,12.5,11,Chrome,1
sess_1065,10335,FTP,8,2381,TLS 1.3,40.3,6,Chrome,1
sess_1066,6728,SSH,7,500,TLS 1.3,62.2,7,Safari,1
sess_1067,4131,FTP,14,727,TLS 1.3,28.7,8,Edge,1
sess_1068,14815,UDP,12,2866,TLS 1.3,39.8,1,Edge,1
sess_1069,6043,TCP,6,1847,TLS 1.3,58.7,3,Edge,1
sess_1070,8188,UDP,9,1748,AES-256,59.7,6,Firefox,1
sess_1071,12882,TCP,4,2864,AES-256,45.1,3,Chrome,1
sess_1072,8917,SSH,4,3355,TLS 1.3,56.6,3,Safari,1
sess_1073,10812,SSH,19,652,TLS 1.2,57.3,3,Safari,1
sess_1074,12743,TCP,13,3129,TLS 1.2,58.5,1,Edge,1
sess_1075,8168,SSH,15,1993,AES-256,28.1,7,Unknown-Bot,1
sess_1076,14009,HTTP,24,1254,TLS 1.3,24.0,5,Unknown-Bot,1
sess_1077,4631,HTTPS,23,128,TLS 1.3,32.6,3,Edge,1
sess_1078,7816,HTTPS,4,670,None,51.0,4,Firefox,1
sess_1079,6638,HTTPS,19,1959,AES-256,13.7,2,Safari,1
sess_1080,6663,FTP,11,3104,AES-256,13.1,1,Unknown-Bot,1
sess_1081,12146,UDP,11,1412,TLS 1.2,52.6,4,Edge,1
sess_1082,2356,HTTPS,4,1919,TLS 1.2,39.0,4,Chrome,1
sess_1083,6792,FTP,5,1383,None,33.5,3,Chrome,1
sess_1084,6304,FTP,18,1945,AES-256,46.2,12,Edge,1
sess_1085,3419,HTTP,10,594,AES-256,24.5,3,Firefox,1
sess_1086,14032,TCP,5,1124,TLS 1.2,51.7,3,Edge,1
sess_1087,14381,TCP,12,2542,TLS 1.2,25.1,2,Firefox,1
sess_1088,13657,UDP,16,3075,None,35.8,5,Edge,1
sess_1089,10957,TCP,22,1337,TLS 1.2,51.6,15,Chrome,1
sess_1090,6585,SSH,13,2865,TLS 1.3,44.6,13,Chrome,1
sess_1091,5654,HTTPS,23,1829,AES-256,61.0,12,Safari,1
sess_1092,10792,SSH,9,2085,None,20.6,7,Edge,1
sess_1093,2948,HTTP,21,1688,None,19.2,16,Safari,1
sess_1094,9909,FTP,21,2515,TLS 1.3,30.5,8,Chrome,1
sess_1095,3434,SSH,9,3253,AES-256,20.0,9,Firefox,1
sess_1096,7497,TCP,3,2443,TLS 1.3,47.4,2,Unknown-Bot,1
sess_1097,2488,SSH,10,1064,TLS 1.2,39.2,7,Edge,1
sess_1098,5270,HTTP,9,706,AES-256,63.2,5,Chrome,1
sess_1099,8308,FTP,11,1056,AES-256,25.3,8,Safari,1
sess_1100,12579,FTP,23,1892,None,28.0,7,Firefox,1
sess_1101,11542,HTTPS,19,2956,None,29.1,9,Unknown-Bot,1
sess_1102,11744,HTTPS,25,3600,AES-256,30.2,7,Unknown-Bot,1
sess_1103,7851,TCP,5,894,TLS 1.2,33.1,3,Safari,1
sess_1104,10962,SSH,8,3381,TLS 1.3,20.4,8,Edge,1
sess_1105,14420,UDP,22,2706,AES-256,43.0,17,Chrome,1
sess_1106,13230,HTTP,9,486,TLS 1.3,15.1,4,Chrome,1
sess_1107,14208,SSH,19,3474,TLS 1.2,38.6,16,Safari,1
sess_1108,9415,TCP,25,2320,TLS 1.3,40.1,9,Unknown-Bot,1
sess_1109,7801,TCP,23,376,TLS 1.3,17.8,2,Safari,1
sess_1110,11411,TCP,17,2646,AES-256,64.5,16,Edge,1
sess_1111,14929,HTTPS,11,3146,TLS 1.2,47.5,9,Firefox,1
sess_1112,8998,HTTP,4,2000,TLS 1.3,56.5,4,Firefox,1
sess_1113,2602,FTP,4,67,AES-256,40.9,2,Safari,1
sess_1114,3014,HTTP,21,1636,None,36.7,10,Edge,1
sess_1115,13372,TCP,7,1006,None,50.6,1,Safari,1
sess_1116,2716,HTTPS,18,902,None,14.5,13,Unknown-Bot,1
sess_1117,1864,UDP,28,246,TLS 1.2,22.6,11,Edge,1
sess_1118,11540,UDP,21,3439,None,27.2,11,Unknown-Bot,1
sess_1119,3116,FTP,6,2101,TLS 1.3,51.0,2,Edge,1
sess_1120,4704,HTTPS,25,738,TLS 1.2,18.8,12,Edge,1
sess_1121,12250,SSH,14,1545,TLS 1.3,44.7,12,Unknown-Bot,1
sess_1122,12386,HTTP,17,2123,TLS 1.2,58.1,6,Unknown-Bot,1
sess_1123,4739,UDP,25,1133,TLS 1.3,64.6,8,Firefox,1
sess_1124,7818,UDP,9,353,TLS 1.3,13.5,2,Unknown-Bot,1
sess_1125,9350,FTP,18,1313,None,41.5,9,Safari,1
